,Date,Open,High,Low,Close,Volume
311,05:11,177.6875,177.6902,177.58,177.6,78249
312,05:12,177.6077,177.66,177.542,177.555,73204
313,05:13,177.5508,177.564,177.46,177.53,96523
314,05:14,177.535,177.5402,177.46,177.52,93533
315,05:15,177.52,177.52,177.415,177.43,87046
316,05:16,177.43,177.44,177.39,177.4,70327
317,05:17,177.4,177.47,177.335,177.365,125046
318,05:18,177.3625,177.38,177.26,177.3747,210276
319,05:19,177.38,177.45,177.37,177.4099,81642
320,05:20,177.4,177.46,177.37,177.43,84484
321,05:21,177.44,177.467,177.35,177.385,115346
322,05:22,177.38,177.48,177.38,177.47,53863
323,05:23,177.47,177.5099,177.46,177.475,62544
324,05:24,177.48,177.55,177.46,177.52,135288
325,05:25,177.5175,177.54,177.5,177.5266,83529
326,05:26,177.53,177.645,177.52,177.615,118030
327,05:27,177.62,177.62,177.54,177.5873,73647
328,05:28,177.58,177.59,177.54,177.5501,44422
329,05:29,177.5401,177.55,177.5,177.51,81773
330,05:30,177.52,177.55,177.5,177.5325,46571
331,05:31,177.54,177.55,177.49,177.52,63530
332,05:32,177.52,177.5448,177.49,177.4901,44813
333,05:33,177.4901,177.51,177.426,177.426,63780
334,05:34,177.425,177.49,177.42,177.487,51307
335,05:35,177.4898,177.6,177.47,177.58,108306
336,05:36,177.5857,177.75,177.58,177.715,123092
337,05:37,177.72,177.76,177.69,177.705,72719
338,05:38,177.7,177.747,177.6926,177.715,36176
339,05:39,177.71,177.8,177.71,177.78,74785
340,05:40,177.77,177.79,177.75,177.775,52472
341,05:41,177.779,177.78,177.68,177.685,94171
342,05:42,177.6824,177.69,177.6518,177.68,70513
343,05:43,177.685,177.6868,177.63,177.635,62648
344,05:44,177.64,177.68,177.63,177.65,49210
345,05:45,177.66,177.66,177.5381,177.5381,54011
346,05:46,177.54,177.57,177.51,177.545,66171
347,05:47,177.56,177.57,177.5251,177.54,33824
348,05:48,177.53,177.59,177.53,177.535,44742
349,05:49,177.5398,177.5398,177.445,177.46,54264
